file,type,name,kind,line,lines,hasBody,branches,coverage_status,measured_lines,covered_lines
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,Distribute,MethodDeclaration,25,5,True,0,nicht ausgeführt,1,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,Distribute,MethodDeclaration,31,38,True,2,nicht ausgeführt,20,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeFiles,MethodDeclaration,70,5,True,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeFiles,MethodDeclaration,76,45,True,2,teilweise ausgeführt,26,25
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeTxt,MethodDeclaration,122,5,True,0,nicht ausgeführt,1,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeTxt,MethodDeclaration,128,43,True,2,nicht ausgeführt,23,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeTxtFiles,MethodDeclaration,172,5,True,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeTxtFiles,MethodDeclaration,178,40,True,1,teilweise ausgeführt,23,19
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeTxtCore,MethodDeclaration,219,177,True,17,teilweise ausgeführt,120,111
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeCore,MethodDeclaration,397,171,True,21,teilweise ausgeführt,88,51
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeShafts,MethodDeclaration,569,4,True,0,nicht ausgeführt,1,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeShafts,MethodDeclaration,574,22,True,2,nicht ausgeführt,8,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeShaftFiles,MethodDeclaration,597,4,True,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeShaftFiles,MethodDeclaration,602,26,True,1,teilweise ausgeführt,12,11
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeShaftCore,MethodDeclaration,629,74,True,8,teilweise ausgeführt,36,27
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeDichtheit,MethodDeclaration,711,4,True,0,nicht ausgeführt,1,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeDichtheit,MethodDeclaration,716,22,True,2,nicht ausgeführt,8,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeDichtheitFiles,MethodDeclaration,743,4,True,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeDichtheitFiles,MethodDeclaration,748,23,True,1,teilweise ausgeführt,10,9
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeDichtheitCore,MethodDeclaration,772,185,True,16,teilweise ausgeführt,119,106
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.PdfParsing.cs,HoldingFolderDistributor,ParseSchachtPdf,MethodDeclaration,47,8,True,1,teilweise ausgeführt,4,3
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.PdfParsing.cs,HoldingFolderDistributor,ParseSchachtPdfPage,MethodDeclaration,57,18,True,4,teilweise ausgeführt,12,9
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.PdfParsing.cs,HoldingFolderDistributor,ResolveDistributionRoot,MethodDeclaration,113,8,True,0,alle messbaren Zeilen ausgeführt,4,4
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.PdfParsing.cs,HoldingFolderDistributor,ParsePdf,MethodDeclaration,141,18,True,4,teilweise ausgeführt,11,9
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.PdfParsing.cs,HoldingFolderDistributor,ParsePdfPage,MethodDeclaration,164,142,True,24,teilweise ausgeführt,75,54
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.PdfParsing.cs,HoldingFolderDistributor,SplitPdfIntoHoldings,MethodDeclaration,308,75,True,11,teilweise ausgeführt,37,22
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.PdfParsing.cs,HoldingFolderDistributor,ParsePdfWithOcrFallback,MethodDeclaration,385,57,True,13,teilweise ausgeführt,35,20
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.PdfParsing.cs,HoldingFolderDistributor,ParsePdfPageWithOcrFallback,MethodDeclaration,444,34,True,9,teilweise ausgeführt,22,3
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.PdfParsing.cs,HoldingFolderDistributor,SplitPdfIntoShafts,MethodDeclaration,480,47,True,9,teilweise ausgeführt,29,24
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.PdfParsing.cs,HoldingFolderDistributor,ParseSchachtPdfPageWithOcrFallback,MethodDeclaration,529,45,True,10,teilweise ausgeführt,30,3
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.PdfParsing.cs,HoldingFolderDistributor,TryParseSchachtPdfPageFromFormFields,MethodDeclaration,576,26,True,3,nicht ausgeführt,16,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.PdfParsing.cs,HoldingFolderDistributor,TryCompleteShaftDateFromSiblingProtocol,MethodDeclaration,604,15,True,2,nicht ausgeführt,10,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.PdfParsing.cs,HoldingFolderDistributor,TryResolveDateFromSiblingProtocol,MethodDeclaration,621,41,True,7,nicht ausgeführt,29,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.PdfParsing.cs,HoldingFolderDistributor,GetOrBuildSchachtDateIndex,MethodDeclaration,664,17,True,1,nicht ausgeführt,10,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.PdfParsing.cs,HoldingFolderDistributor,BuildSchachtDateIndex,MethodDeclaration,683,38,True,6,nicht ausgeführt,17,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.PdfParsing.cs,HoldingFolderDistributor,TryExtractFromHeader,MethodDeclaration,736,2,True,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.PdfParsing.cs,HoldingFolderDistributor,LooksLikeDateFragment,MethodDeclaration,749,2,True,0,nicht ausgeführt,1,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.PdfParsing.cs,HoldingFolderDistributor,TryExtractFromShafts,MethodDeclaration,753,2,True,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.PdfParsing.cs,HoldingFolderDistributor,TryFindPoint,MethodDeclaration,756,2,True,0,nicht ausgeführt,1,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.PdfParsing.cs,HoldingFolderDistributor,FindNextToken,MethodDeclaration,759,2,True,0,nicht ausgeführt,1,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.PdfParsing.cs,HoldingFolderDistributor,WritePdfPages,MethodDeclaration,763,32,True,4,teilweise ausgeführt,20,15
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.PdfParsing.cs,HoldingFolderDistributor,AppendPdfFile,MethodDeclaration,797,60,True,9,teilweise ausgeführt,37,30
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.PdfParsing.cs,HoldingFolderDistributor,RewriteHoldingInPdfFiles,MethodDeclaration,867,9,True,0,alle messbaren Zeilen ausgeführt,5,5
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.PdfParsing.cs,HoldingFolderDistributor,TryFindFilmName,MethodDeclaration,878,37,True,7,teilweise ausgeführt,22,13
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.PdfParsing.cs,HoldingFolderDistributor,EnumeratePhotoLookupKeys,MethodDeclaration,917,2,True,0,nicht ausgeführt,1,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.SidecarXtf.cs,HoldingFolderDistributor,ParseTxtSections,MethodDeclaration,39,47,True,4,alle messbaren Zeilen ausgeführt,31,31
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.SidecarXtf.cs,HoldingFolderDistributor,FlushCurrent,LocalFunctionStatement,49,17,True,1,alle messbaren Zeilen ausgeführt,13,13
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.SidecarXtf.cs,HoldingFolderDistributor,TryParseTxtHeader,MethodDeclaration,88,2,True,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.SidecarXtf.cs,HoldingFolderDistributor,TryReadTxtDate,MethodDeclaration,92,20,True,4,teilweise ausgeführt,11,9
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.SidecarXtf.cs,HoldingFolderDistributor,TryParseDateFromInfoFile,MethodDeclaration,114,15,True,3,teilweise ausgeführt,8,7
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.SidecarXtf.cs,HoldingFolderDistributor,ReadAllTextLinesBestEffort,MethodDeclaration,131,12,True,1,teilweise ausgeführt,5,3
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.SidecarXtf.cs,HoldingFolderDistributor,EnumerateSidecarFiles,MethodDeclaration,145,31,True,2,teilweise ausgeführt,17,12
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.SidecarXtf.cs,HoldingFolderDistributor,AddSidecarFiles,LocalFunctionStatement,153,13,True,1,teilweise ausgeführt,7,3
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.SidecarXtf.cs,HoldingFolderDistributor,BuildSidecarVideoLinkIndex,MethodDeclaration,178,73,True,14,teilweise ausgeführt,37,15
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.SidecarXtf.cs,HoldingFolderDistributor,BuildSidecarHoldingByVideoIndex,MethodDeclaration,253,35,True,7,teilweise ausgeführt,18,3
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.SidecarXtf.cs,HoldingFolderDistributor,EnumerateVideoLookupKeys,MethodDeclaration,290,12,True,2,nicht ausgeführt,8,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.SidecarXtf.cs,HoldingFolderDistributor,BuildCdIndexVideoLinkIndex,MethodDeclaration,304,40,True,6,teilweise ausgeführt,20,10
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.SidecarXtf.cs,HoldingFolderDistributor,ResolveCdIndexFolders,MethodDeclaration,346,39,True,6,teilweise ausgeführt,20,12
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.SidecarXtf.cs,HoldingFolderDistributor,AddExisting,LocalFunctionStatement,352,7,True,2,nicht ausgeführt,5,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.SidecarXtf.cs,HoldingFolderDistributor,AddCdIndexMappings,MethodDeclaration,387,43,True,9,nicht ausgeführt,21,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.SidecarXtf.cs,HoldingFolderDistributor,ResolveSidecarFolders,MethodDeclaration,432,34,True,5,teilweise ausgeführt,20,19
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.SidecarXtf.cs,HoldingFolderDistributor,AddExisting,LocalFunctionStatement,436,7,True,2,teilweise ausgeführt,5,4
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.SidecarXtf.cs,HoldingFolderDistributor,TryFindVideoFromSidecarLinks,MethodDeclaration,468,58,True,15,teilweise ausgeführt,29,20
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.SidecarXtf.cs,HoldingFolderDistributor,HoldingHasVideoLink,MethodDeclaration,528,30,True,6,nicht ausgeführt,14,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.SidecarXtf.cs,HoldingFolderDistributor,PreWarmXtfCache,MethodDeclaration,560,18,True,3,teilweise ausgeführt,11,9
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.TextUtils.cs,HoldingFolderDistributor,NormalizeText,MethodDeclaration,26,1,True,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.TextUtils.cs,HoldingFolderDistributor,TryParseDateString,MethodDeclaration,29,1,True,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.TextUtils.cs,HoldingFolderDistributor,IsSuspiciousShaftPair,MethodDeclaration,32,2,True,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.TextUtils.cs,HoldingFolderDistributor,MergeMessage,MethodDeclaration,36,1,True,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.TextUtils.cs,HoldingFolderDistributor,TryExtractHaltungFromPdfPath,MethodDeclaration,39,2,True,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.TextUtils.cs,HoldingFolderDistributor,NormalizeShaftNumberKey,MethodDeclaration,43,2,True,0,nicht ausgeführt,1,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.TextUtils.cs,HoldingFolderDistributor,BuildPageRange,MethodDeclaration,47,1,True,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.TextUtils.cs,HoldingFolderDistributor,IsContentsPage,MethodDeclaration,50,1,True,0,nicht ausgeführt,1,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.TextUtils.cs,HoldingFolderDistributor,TryFindInspectionDate,MethodDeclaration,53,2,True,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.TextUtils.cs,HoldingFolderDistributor,TryFindSchachtDate,MethodDeclaration,57,2,True,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.TextUtils.cs,HoldingFolderDistributor,FindNearbyDate,MethodDeclaration,61,2,True,0,nicht ausgeführt,1,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.TextUtils.cs,HoldingFolderDistributor,TryFindHaltungId,MethodDeclaration,65,2,True,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.TextUtils.cs,HoldingFolderDistributor,TryParseKsCompactHoldingDigits,MethodDeclaration,69,2,True,0,nicht ausgeführt,1,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.TextUtils.cs,HoldingFolderDistributor,TryFindSchachtNumber,MethodDeclaration,73,2,True,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.TextUtils.cs,HoldingFolderDistributor,Tokenize,MethodDeclaration,79,3,True,0,nicht ausgeführt,2,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.TextUtils.cs,HoldingFolderDistributor,HasVideoExtension,MethodDeclaration,84,5,True,0,alle messbaren Zeilen ausgeführt,2,2
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.TextUtils.cs,HoldingFolderDistributor,HasImageExtension,MethodDeclaration,91,5,True,0,nicht ausgeführt,2,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.TextUtils.cs,HoldingFolderDistributor,NormalizeVideoFileName,MethodDeclaration,98,1,True,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.TextUtils.cs,HoldingFolderDistributor,SanitizePathSegment,MethodDeclaration,101,2,True,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.TextUtils.cs,HoldingFolderDistributor,NormalizeHaltungId,MethodDeclaration,105,1,True,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.TextUtils.cs,HoldingFolderDistributor,NormalizeKey,MethodDeclaration,108,1,True,0,nicht ausgeführt,1,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.TextUtils.cs,HoldingFolderDistributor,IsValidHaltungId,MethodDeclaration,111,1,True,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.TextUtils.cs,HoldingFolderDistributor,MakeProjectRelativeLink,MethodDeclaration,119,2,True,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.VideoMatching.cs,HoldingFolderDistributor,EnumerateVideoFiles,MethodDeclaration,35,16,True,1,alle messbaren Zeilen ausgeführt,10,10
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.VideoMatching.cs,HoldingFolderDistributor,FindVideo,MethodDeclaration,53,23,True,2,alle messbaren Zeilen ausgeführt,9,9
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.VideoMatching.cs,HoldingFolderDistributor,FindVideoByHaltungDate,MethodDeclaration,78,12,True,0,alle messbaren Zeilen ausgeführt,2,2
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.VideoMatching.cs,HoldingFolderDistributor,GetFileTimestampSafe,MethodDeclaration,91,15,True,2,nicht ausgeführt,10,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.VideoMatching.cs,HoldingFolderDistributor,TryFindVideoFromCdIndexPhotoHints,MethodDeclaration,108,91,True,21,teilweise ausgeführt,49,2
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.VideoMatching.cs,HoldingFolderDistributor,TryResolveHoldingFromMatchedVideo,MethodDeclaration,201,43,True,11,teilweise ausgeführt,23,2
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.VideoMatching.cs,HoldingFolderDistributor,TryResolveHoldingFromMatchedVideoName,MethodDeclaration,245,20,True,4,teilweise ausgeführt,9,7
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.VideoMatching.cs,HoldingFolderDistributor,GetSuffixFromFirstUnderscore,MethodDeclaration,267,2,True,0,nicht ausgeführt,1,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.VideoMatching.cs,HoldingFolderDistributor,FindRecordByHolding,MethodDeclaration,271,34,True,2,teilweise ausgeführt,23,20
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.VideoMatching.cs,HoldingFolderDistributor,StripNodePrefixes,MethodDeclaration,318,1,True,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.VideoMatching.cs,HoldingFolderDistributor,EnumerateHoldingLookupKeys,MethodDeclaration,321,1,True,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.VideoMatching.cs,HoldingFolderDistributor,ReverseHoldingId,MethodDeclaration,324,1,True,0,nicht ausgeführt,1,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.VideoMatching.cs,HoldingFolderDistributor,TryFindVideoFromRecordLink,MethodDeclaration,327,52,True,7,teilweise ausgeführt,29,26
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.VideoMatching.cs,HoldingFolderDistributor,FindExistingVideo,MethodDeclaration,386,56,True,7,teilweise ausgeführt,33,27
src/AuswertungPro.Next.Infrastructure/HoldingIdNormalizer.cs,HoldingIdNormalizer,NormalizeHaltungId,MethodDeclaration,27,19,True,2,alle messbaren Zeilen ausgeführt,10,10
src/AuswertungPro.Next.Infrastructure/HoldingIdNormalizer.cs,HoldingIdNormalizer,IsValidHaltungId,MethodDeclaration,51,26,True,6,teilweise ausgeführt,15,14
src/AuswertungPro.Next.Infrastructure/HoldingIdNormalizer.cs,HoldingIdNormalizer,IsDateLikeNode,MethodDeclaration,78,16,True,3,alle messbaren Zeilen ausgeführt,11,11
src/AuswertungPro.Next.Infrastructure/HoldingIdNormalizer.cs,HoldingIdNormalizer,ReverseHoldingId,MethodDeclaration,99,11,True,2,alle messbaren Zeilen ausgeführt,6,6
src/AuswertungPro.Next.Infrastructure/HoldingIdNormalizer.cs,HoldingIdNormalizer,StripNodePrefixes,MethodDeclaration,115,12,True,1,alle messbaren Zeilen ausgeführt,8,8
src/AuswertungPro.Next.Infrastructure/HoldingIdNormalizer.cs,HoldingIdNormalizer,EnumerateHoldingLookupKeys,MethodDeclaration,131,11,True,2,alle messbaren Zeilen ausgeführt,8,8
src/AuswertungPro.Next.Infrastructure/HoldingTextNormalizer.cs,HoldingTextNormalizer,NormalizeText,MethodDeclaration,19,12,True,1,alle messbaren Zeilen ausgeführt,8,8
src/AuswertungPro.Next.Infrastructure/HoldingTextNormalizer.cs,HoldingTextNormalizer,TryParseDateString,MethodDeclaration,35,9,True,0,alle messbaren Zeilen ausgeführt,6,6
src/AuswertungPro.Next.Infrastructure/HoldingTextNormalizer.cs,HoldingTextNormalizer,NormalizeKey,MethodDeclaration,48,11,True,3,alle messbaren Zeilen ausgeführt,6,6
src/AuswertungPro.Next.Infrastructure/HoldingTextNormalizer.cs,HoldingTextNormalizer,ContainsKeyAtBoundary,MethodDeclaration,66,2,True,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.Infrastructure/HoldingTextNormalizer.cs,HoldingTextNormalizer,ContainsNormalizedKeyAtBoundary,MethodDeclaration,69,44,True,6,teilweise ausgeführt,28,27
src/AuswertungPro.Next.Infrastructure/HoldingTextNormalizer.cs,HoldingTextNormalizer,BuildPageRange,MethodDeclaration,117,6,True,2,alle messbaren Zeilen ausgeführt,3,3
src/AuswertungPro.Next.Infrastructure/HoldingTextNormalizer.cs,HoldingTextNormalizer,IsContentsPage,MethodDeclaration,127,2,True,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.Infrastructure/HoldingTextNormalizer.cs,HoldingTextNormalizer,MergeMessage,MethodDeclaration,133,8,True,3,alle messbaren Zeilen ausgeführt,5,5
src/AuswertungPro.Next.Infrastructure/HoldingTextNormalizer.cs,HoldingTextNormalizer,NormalizeVideoFileName,MethodDeclaration,146,17,True,3,teilweise ausgeführt,11,9
src/AuswertungPro.Next.UI/App.xaml.cs,App,Services,PropertyDeclaration,53,2,True,0,nicht ausgeführt,1,0
src/AuswertungPro.Next.UI/App.xaml.cs,App,OnStartup,MethodDeclaration,56,206,True,11,teilweise ausgeführt,135,8
src/AuswertungPro.Next.UI/App.xaml.cs,App,OnExit,MethodDeclaration,263,20,True,1,nicht ausgeführt,13,0
src/AuswertungPro.Next.UI/App.xaml.cs,App,AnimateOpacityAsync,MethodDeclaration,284,20,True,1,nicht ausgeführt,13,0
src/AuswertungPro.Next.UI/App.xaml.cs,App,StartAiOnStartupAsync,MethodDeclaration,305,29,True,5,nicht ausgeführt,19,0
src/AuswertungPro.Next.UI/App.xaml.cs,App,ApplyTypographyDefaults,MethodDeclaration,335,27,True,1,nicht ausgeführt,21,0
src/AuswertungPro.Next.UI/App.xaml.cs,App,TryOverrideMetadata,MethodDeclaration,363,15,True,2,nicht ausgeführt,7,0
src/AuswertungPro.Next.UI/App.xaml.cs,App,RegisterWindowIconDefaults,MethodDeclaration,379,13,True,1,nicht ausgeführt,8,0
src/AuswertungPro.Next.UI/App.xaml.cs,App,ApplyDefaultWindowIcon,MethodDeclaration,393,21,True,3,nicht ausgeführt,11,0
src/AuswertungPro.Next.UI/App.xaml.cs,App,LoadDefaultWindowIcon,MethodDeclaration,415,37,True,5,nicht ausgeführt,20,0
src/AuswertungPro.Next.UI/App.xaml.cs,App,HandleException,MethodDeclaration,453,40,True,4,nicht ausgeführt,20,0
src/AuswertungPro.Next.UI/AppSettings.cs,AppSettings,PersistenceBlocked,PropertyDeclaration,53,2,True,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.UI/AppSettings.cs,AppSettings,PersistenceBlockedWarning,PropertyDeclaration,57,8,True,1,alle messbaren Zeilen ausgeführt,7,7
src/AuswertungPro.Next.UI/AppSettings.cs,AppSettings,public bool EnableDiagnostics { get; set; } = true;:get,GetAccessorDeclaration,66,1,False,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.UI/AppSettings.cs,AppSettings,public bool EnableDiagnostics { get; set; } = true;:set,SetAccessorDeclaration,66,1,False,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.UI/AppSettings.cs,AppSettings,public string? PdfToTextPath { get; set; }:get,GetAccessorDeclaration,67,1,False,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.UI/AppSettings.cs,AppSettings,public string? PdfToTextPath { get; set; }:set,SetAccessorDeclaration,67,1,False,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.UI/AppSettings.cs,AppSettings,public int ProtocolPhotosPerPage { get; set; } =:get,GetAccessorDeclaration,73,1,False,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.UI/AppSettings.cs,AppSettings,public int ProtocolPhotosPerPage { get; set; } =:set,SetAccessorDeclaration,73,1,False,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.UI/AppSettings.cs,AppSettings,public string? LastProjectPath { get; set; }:get,GetAccessorDeclaration,75,1,False,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.UI/AppSettings.cs,AppSettings,public string? LastProjectPath { get; set; }:set,SetAccessorDeclaration,75,1,False,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.UI/AppSettings.cs,AppSettings,public string? ProjectsRootDirectory { get; set; }:get,GetAccessorDeclaration,79,1,False,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.UI/AppSettings.cs,AppSettings,public string? ProjectsRootDirectory { get; set; }:set,SetAccessorDeclaration,79,1,False,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.UI/AppSettings.cs,AppSettings,public List<string> RecentProjectPaths { get; set; } = new();:get,GetAccessorDeclaration,82,1,False,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.UI/AppSettings.cs,AppSettings,public List<string> RecentProjectPaths { get; set; } = new();:set,SetAccessorDeclaration,82,1,False,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.UI/AppSettings.cs,AppSettings,public List<string> HiddenProjectPaths { get; set; } = new();:get,GetAccessorDeclaration,86,1,False,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.UI/AppSettings.cs,AppSettings,public List<string> HiddenProjectPaths { get; set; } = new();:set,SetAccessorDeclaration,86,1,False,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.UI/AppSettings.cs,AppSettings,public bool OverviewProjectListCollapsed { get; set; }:get,GetAccessorDeclaration,87,1,False,0,alle messbaren Zeilen ausgeführt,1,1
src/AuswertungPro.Next.UI/AppSettings.cs,AppSettings,public bool OverviewProjectListCollapsed { get; set; }:set,SetAccessorDeclaration,87,1,False,0,alle messbaren Zeilen ausgeführt,1,1
